Source,Harga Lama,Harga Baru,Judul,No. ISBN,Penerbit,Tanggal terbit,Jumlah Halaman,Berat,Jenis Cover,Dimensi(L x P),Kategori,Bonus,Text Bahasa
https://www.bukukita.com/Biografi-dan-Memoar/Biografi/117578-SUPER-JUNIOR.html,Rp 47.000,,SUPER JUNIOR,9786027618503,Kurniaesa ,September - 2013,188,250 gr,Soft Cover,-,Biografi,-,Indonesia ··
https://www.bukukita.com/Agama/Islam/168310-Syariah-:-Ekonomi-Bisnis-Dan-Bunga-Bank.html,Rp 75.000,,Syariah : Ekonomi Bisnis Dan Bunga Bank,9786237713944,Lentera Hati ,November - 2021,200,200 gr,Soft Cover,-,Islam,-,Indonesia ··
https://www.bukukita.com/Anak-Anak/Dunia-Binatang/132423-Storypedia-Binatang-Darat-Indonesia.html,Rp 95.000,,Storypedia Binatang Darat Indonesia (2015),9786027652446,Lentera Hati ,Februari - 2015,-,370 gr,Soft Cover,-,Dunia Binatang,-,"Indonesia, Arab ··"
https://www.bukukita.com/Agama/Islam/167305-Lentera-Hati:-Pijar-Hikmah-dan-Teladan-Kehidupan.html,Rp 190.000,,Lentera Hati: Pijar Hikmah dan Teladan Kehidupan,9786237713432,Lentera Hati ,Februari - 2021,564,500 gr,Soft Cover,140x210mm,Islam,-,Indonesia ··
https://www.bukukita.com/Agama/Islam/168545-Doa-Dalam-Al-Quran-Dan-Sunnah.html,Rp 75.000,,Doa Dalam Al-Quran Dan Sunnah,9786237713982,Lentera Hati ,Maret - 2022,244,250 gr,Soft Cover,-,Islam,-,Indonesia ··
https://www.bukukita.com/katalogbukuatribut.php?atrId=5&page=1,,,,,,,,,,,,,
https://www.bukukita.com/Buku-Murah-dan-Promo-2021/Promo-Buku-Murah/146960-Empat-Perjanjian.html,Rp 35.000,,Empat Perjanjian,9786021985458,Alvabet ,Agustus - 2013,-,200 gr,Soft Cover,-,Promo Buku Murah,-,Indonesia ··
https://www.bukukita.com/Inspirasi-dan-Spiritual/Spiritualitas/109284-Para-Pembuat-Keajaiban-:-Ajaibnya-Kekuatan-Sentuhan-Tangan-Tuhan.html,Rp 28.000,,Para Pembuat Keajaiban : Ajaibnya Kekuatan Sentuhan Tangan Tuhan,9786027665828,Buku Biru ,Desember - 2012,-,200 gr,Soft Cover,-,Spiritualitas,-,Indonesia ··
https://www.bukukita.com/Inspirasi-dan-Spiritual/Pendidikan-&-Pengajar/153449-DIFERENSIASI:-Memahami-Pelajar-untuk-Belajar-Bermakna-&-Menyenangkan.html,Rp 90.000,,DIFERENSIASI: Memahami Pelajar untuk Belajar Bermakna & Menyenangkan,9786028740524,Literati-books ,November - 2017,-,300 gr,Soft Cover,-,Pendidikan & Pengajar,-,Indonesia ··
https://www.bukukita.com/Buku-Teks/Manajemen/166711-Dasar-Dasar-Ilmu-Manajemen.html,Rp 50.000,,Dasar-Dasar Ilmu Manajemen,9786237115526,Anak Hebat Indonesia ,September - 2020,-,205 gr,soft cover,-,Manajemen,-,Indonesia ··
https://www.bukukita.com/katalogbukuatribut.php?atrId=2&page=1,,,,,,,,,,,,,
https://www.bukukita.com/Sains-dan-Teknologi/Sains-Umum/169263-Kecerdasaan-Matematis.html,Rp 115.000,,Kecerdasaan Matematis,9786232201378,Alvabet ,Agustus - 2022,-,370 gr,Soft Cover,13x20mm,Sains Umum,-,Indonesia ··
https://www.bukukita.com/Agama/Islam/89402-Dahsyatnya-Ibadah-Siang.html,Rp 45.000,,Dahsyatnya Ibadah Siang (Disc 50%),979,QultumMedia ,Februari - 2011,194,220 gr,Soft Cover,-,Islam,-,Indonesia ··
